sync_confirmation_message,You have completed tasks that can be submitted now,আপুনি এতিয়া জমা দিব পৰা কামবোৰ সম্পূৰ্ণ কৰিছে,আপনার সম্পন্ন করা কাজটি এখন জমা দিতে পারেন। ,Ha completado tareas que se pueden enviar al servidor. ¿Quiere enviar las tareas ahora?,તમે એવા કાર્યો પૂર્ણ કર્યા છે જે સર્વર પર સબમિટ કરી શકાય છે. શું તમે હવે કાર્યો સબમિટ કરવા માંગો છો?,आपने वे कार्य पूरे कर लिए हैं जिन्हें अब सबमिट किया जा सकता है।,ಈಗ ಸಲ್ಲಿಸಬಹುದಾದ ಕಾರ್ಯಗಳನ್ನು ನೀವು ಪೂರ್ಣಗೊಳಿಸಿದ್ದೀರಿ,ഇപ്പോൾ സമർപ്പിക്കാൻ കഴിയുന്ന ടാസ്ക്കുകൾ നിങ്ങൾ പൂർത്തിയാക്കി,तुम्ही आता पूर्ण केलेली कार्ये सबमिट करता येणार आहेत,ଆପଣ କାର୍ଯ୍ୟଗୁଡ଼ିକୁ ସମ୍ପୂର୍ଣ୍ଣ କରିସାରିଛନ୍ତି ଯାହା ଏବେ ସର୍ଭରରେ ଦାଖଲ କରି ପାରିବେ,ਤੁਸੀਂ ਉਹ ਕਾਰਜ ਪੂਰੇ ਕਰ ਲਏ ਹਨ ਜਿੰਨ੍ਹਾਂ ਨੂੰ ਜਮਾਂ ਕੀਤਾ ਜਾ ਸਕਦਾ ਹੈ।,உங்களால் முடிக்கப்பட்ட பணிகளைச் சமர்ப்பிக்கலாம். பணிகளை இப்போதே சமர்ப்பிக்க விரும்புகிறீர்களா?,మీరు ఇప్పుడు సబ్మిట్ చేయగల పనులను పూర్తి చేసారు,रउरा अइसन काम पूरा कर लिहले बानी जवना के अब जमा कइल जा सकेला,Na·a kamrangko matchotaha uko na·a submit ka·na man·gen
sync_confirmation_title,Do you want to submit tasks?,আপুনি কাম জমা দিব বিচাৰেনে?,আপনি কি কাজগুলি জমা দিতে চান?,¿Quieres enviar tareas?,શું તમે કાર્યો સબમિટ કરવા માંગો છો?,क्या आप कार्य सबमिट करना चाहते हैं?,ನೀವು ಕಾರ್ಯಗಳನ್ನು ಸಲ್ಲಿಸಲು ಬಯಸುವಿರಾ?,നിങ്ങൾക്ക് ടാസ്കുകൾ സമർപ്പിക്കണോ?,तुम्हाला कार्ये सबमिट करायचे आहेत का?,ଆପଣ କାର୍ଯ୍ୟଗୁଡିକ ଦାଖଲ କରିବାକୁ ଚାହୁଁଛନ୍ତି କି?,ਕੀ ਤੁਸੀਂ ਕਾਰਜ ਦਰਜ ਕਰਨਾ ਚਾਹੁੰਦੇ ਹੋ?,பணிகளைச் சமர்ப்பிக்க விரும்புகிறீர்களா?,మీరు టాస్క్‌లను సబ్మిట్ చేయాలనుకుంటున్నారా?,का रउरा काम सबमिट कइल चाहत बानी?,Na·a kamrangko submit ka·na skahama?
edit_successful,Edit Successful!,এডিট সফল হ'ল!,এডিট সফল হয়েছে!,¡Edición exitosa!,સંપાદન સફળ!,एडिट सफल!, ಎಡಿಟ್ ಯಶಸ್ವಿಯಾಗಿದೆ!,വിജയകരമായി എഡിറ്റ് ചെയ്‌തു!,एडिट यशस्वी!,ସଫଳତାର ସହିତ ସଂଶୋଧନ ହେଲା!,ਐਡਿਟ ਸਫ਼ਲ ਰਹੀ!,வெற்றிகரமாக எடிட் செய்யப்பட்டது!,ఎడిట్ విజయవంతమైంది!,संपादन सफल भइल बा!,Taritaiani chu·soke matchotaha
correct_answer,The above answer was correct!,ওপৰৰ উত্তৰটো শুদ্ধ আছিল!,উপরের উত্তরটি সঠিক ছিল!,¡La respuesta anterior era correcta!,ઉપરનો જવાબ સાચો હતો!,ऊपर दिया गया उत्तर सही था!,ಮೇಲಿನ ಉತ್ತರ ಸರಿಯಾಗಿದೆ.,മുകളിലെ ഉത്തരം ശരിയാണ്!,वरील उत्तर बरोबर होते!,ଉପରୋକ୍ତ ଉତ୍ତରଟି ଠିକ୍ ଥିଲା!,ਉਪਰੋਕਤ ਜਵਾਬ ਸਹੀ ਸੀ!,மேற்கண்ட பதில் சரியானது!,పై సమాధానం సరైనదే!,उपर के जवाब सही रहे!,Kosako on·gimin aganchakani tik ong·achim
wrong_answer,"The above answer was wrong, correct answer is %s",ওপৰৰ উত্তৰটো ভুল আছিল। শুদ্ধ উত্তৰ হ'ল %s,উপরের উত্তরটি ভুল ছিল। সঠিক উত্তরটি হল %s,"La respuesta anterior fue incorrecta, la respuesta correcta es %s",ઉપરનો જવાબ ખોટો હતો. સાચો જવાબ %s છે,ऊपर दिया गया  उत्तर गलत था. सही उत्तर %s है,ಮೇಲಿನ ಉತ್ತರ ತಪ್ಪಾಗಿದೆ. ಸರಿಯಾದ ಉತ್ತರ %s ಆಗಿದೆ.,മുകളിലെ ഉത്തരം തെറ്റായിരുന്നു. ശരിയായ ഉത്തരം %s ആണ്,वरील उत्तर चुकीचे होते. बरोबर उत्तर %s आहे,ଉପରୋକ୍ତ ଉତ୍ତରଟି ଭୁଲ୍ ଥିଲା। ସଠିକ ଉତ୍ତର ହେଉଛି %s,ਉਪਰੋਕਤ ਜਵਾਬ ਗਲਤ ਸੀ। ਠੀਕ ਜਵਾਬ %s ਹੈ,மேற்கண்ட பதில் தவறானது. சரியான பதில் %s,పై సమాధానం తప్పు. సరైన సమాధానం %s,"उपर दिहल जवाब गलत रहे, सही जवाब %s बा","Kosako on·gimin aganchakani tik ong·jachim, tik ong·gipa aganchakaniara %s ong·a"
complete_registations,Complete registration,ৰেজিষ্ট্ৰেচন সম্পূৰ্ণ কৰক,রেজিস্ট্রেশন সম্পূর্ণ করুন,Registro completo,નોંધણી પૂર્ણ કરો,पंजीकरण पूर्ण करें,ಸಂಪೂರ್ಣ ನೋಂದಣಿ,രജിസ്ട്രേഷൻ പൂർത്തിയാക്കൂ,नोंदणी पूर्ण करा,ପଞ୍ଜୀକରଣ ସମାପ୍ତ କରନ୍ତୁ,ਰਜਿਸਟ੍ਰੇਸ਼ਨ ਪੂਰੀ ਕਰੋ,பதிவு செயல்முறையை முடிக்கவும்,నమోదును పూర్తి చెయ్యండి,कंप्लीट रजिस्ट्रेशन,Registrationko matchotatbo
force_sync,Force Sync,ফৰ্চ চিংক কৰক,জোরপূর্বক সিঙ্ক  করুন,Forzar sincronización,ફોર્સ સિંક,कृपया सिंक करें, ಫೋರ್ಸ್ ಸಿಂಕ್,നിർബന്ധിത സിങ്ക്,सक्तीने सिंक करा,ଫୋର୍ସ ସିଙ୍କ୍,ਜ਼ਬਰਦਸਤੀ ਸਿੰਕ ਕਰੋ,சிங்க்கை கட்டாயமாக்குக,ఫోర్స్ సింక్,फोर्स सिंक,Force Sync
not_you,Not You?,আপুনি নহয়?,আপনি নন?,¿No es usted?,તમે નહિ?,आप नहीं?,ನೀನಲ್ಲ?,നിങ്ങൾ അല്ലെ?,तुम्ही नाही?,ଆପଣ ନୁହନ୍ତି?,ਤੁਸੀਂ ਨਹੀਂ?,இது நீங்கள் இல்லையா?,మీరు కాదా?,नॉट यू,Na·a ong·jama?
take_photo,Take Photo,ফটো তুলক,ফটো তুলুন,Tomar foto,ફોટો પાડો,फोटो लो,ಭಾವಚಿತ್ರವನ್ನು ತೆಗಿಯಿರಿ.,ഫോട്ടോ എടുക്കുക,फोटो घ्या,ଫଟୋ ଉଠାନ୍ତୁ,ਫੋਟੋ ਖਿੱਚੋਂ,போட்டோ எடுக்கவும்,ఫోటో తీసుకోండి,टेक फोटो,Photo ka·bo
make_annotation,Make Annotations,মেক এন’টেশ্বনছ,এনোটেশন তৈরি করুন,,અનોટેશંસ બનાવો,एनोटेशन बनाएं,ಟಿಪ್ಪಣಿಗಳನ್ನು ರಚಿಸಿ,അനോറ്റേഷൻസ് ചെയ്യുക,अनोटेशन्स करा.,ଆନୋଟେସନ ବନାନ୍ତୁ ,ਐਨੋਟੇਸ਼ਨ ਬਣਾਓ,சிறுகுறிப்புகளை உருவாக்கவும்,అనోటేషన్స్ సృష్టించండి,एनोटेशन बनावे के बा,Annotation taribo
capture_id,Capture ID,আইডি কেপচাৰ কৰক,আইডি ক্যাপচার করুন,,આઈડી કેપ્ચર કરો,कैप्चर आईडी,ID ಕ್ಯಾಪ್ಚರ್ ಮಾಡಿ,ഐഡി ക്യാപ്ചർ ചെയ്യുക,आयडी कॅप्चर करा,ଆଇଡି ର ଫଟୋ ଉଠାନ୍ତୁ,ਆਈਡੀ ਕੈਪਚਰ ਕਰੋ,ஐடியைப் கேப்சர் செய்யவும்,ID యొక్క ఫోటో తీయండి,कैप्चर आईडी,Capture ID
error_taking_photo,Error while taking photo! Please retry.,ফটো তুলিথাকোঁতে ত্ৰুটি! অনুগ্ৰহ কৰি পুনৰ চেষ্টা কৰক।,ফটো তোলার সময় ত্রুটি হয়েছে! দয়া করে পুনরায় চেষ্টা করুন.,"¡Error al tomar la foto! Por favor, intenta de nuevo.",ફોટો લેતી વખતે ભૂલ! કૃપા કરીને ફરી પ્રયાસ કરો.,फ़ोटो लेते समय एरर आ गया! कृपया फिर से कोशिश करें।,ಫೋಟೋ ತೆಗೆಯುವಾಗ ದೋಷ! ದಯವಿಟ್ಟು ಪ್ರಯತ್ನಿಸಿ.,ഫോട്ടോ എടുക്കുമ്പോൾ തെറ്റ് പറ്റിയിരിക്കുന്നു! ദയവായി വീണ്ടും ശ്രമിക്കൂ,फोटो काढताना चूक झाली! कृपया पुन्हा प्रयत्न करा.,ଫଟୋ ନେବା ସମୟରେ ତ୍ରୁଟି! ଦୟାକରି ପୁନର୍ବାର ଚେଷ୍ଟା କରନ୍ତୁ।,ਫ਼ੋਟੋ ਲੈਣ ਦੌਰਾਨ ਏਰਰ ਆਈ! ਕਿਰਪਾ ਕਰਕੇ ਮੁੜ-ਕੋਸ਼ਿਸ਼ ਕਰੋ।,புகைப்படம் எடுக்கும்போது பிழை ஏற்பட்டுவிட்டது! தயவுசெய்து மீண்டும் முயற்சிக்கவும்.,ఫోటో తీస్తున్నప్పుడు తప్పు జరిగింది! దయచేసి మళ్ళీ ప్రయత్నించండి.,फोटो खींचत घरी त्रुटि भइल! कृपया दोबारा कोशिश करीं।,Photo ka·mitingo error ong·aha! Ka·sapae daktaibo.
retake_photo,Retake Photo,পুনৰ ফটো লওঁক,পুনরায় ফটো তুলুন,Retomar foto,ફોટો ફરીથી લો,फ़ोटो दोबारा लें,ಮತ್ತೆ ಭಾವಚಿತ್ರ ತೆಗೆಯಿರಿ.,ഫോട്ടോ വീണ്ടും എടുക്കുക,फोटो पुन्हा घ्या,ପୁଣି ଫଟୋ ଉଠାନ୍ତୁ,ਫੋਟੋ ਦੁਬਾਰਾ ਖਿੱਚੋਂ,மீண்டும் புகைப்படம் எடுக்கவும்,ఫోటోను మళ్ళీ తీయండి,फोटो के दोबारा ले लीं,Photo ka·taibo
skipped,Skipped,এৰা হৈছে,এড়ানো হয়েছে,Saltado,છોડી દીધું,छोड़ा गया,ಸ್ಕಿಪ್ ಮಾಡಲಾಗಿದೆ,ഒഴിവാക്കി,वगळले,ବାଦ୍ ଦେଇ ଥିଲେ ,ਛੱਡਿਆ,ஸ்கிப்பிட்,వదిలివేయబడింది,स्किप्ड,Watchangaha
error_taking_video,Error while launching video! Please Retry,ভিডিঅ' আৰম্ভ কৰাৰ সময়ত ত্ৰুটি ! অনুগ্ৰহ কৰি পুনৰ চেষ্টা কৰক,ভিডিও চালু করার সময় সমস্যা হয়েছে! দয়া করে পুনরায় চেষ্টা করুন,"¡Error al iniciar el vídeo! Por favor, intenta de nuevo",વિડિઓ શરૂ કરતી વખતે ભૂલ! કૃપા કરીને ફરી પ્રયાસ કરો,वीडियो शुरू करते समय ऐरर आ गया! कृपया फिर से कोशिश करें,ವೀಡಿಯೊವನ್ನು ಪ್ರಾರಂಭಿಸುವಾಗ ದೋಷ! ದಯವಿಟ್ಟು ಪ್ರಯತ್ನಿಸಿ.,വീഡിയോ സമാരംഭിക്കുന്നതിൽ പിശക് പറ്റിയിരിക്കുന്നു! ദയവായി വീണ്ടും ശ്രമിക്കൂ,व्हिडिओ सुरु करताना त्रुटी! कृपया पुन्हा प्रयत्न करा,ଭିଡିଓ ଆରମ୍ଭ କରିବା ସମୟରେ ତ୍ରୁଟି! ଦୟାକରି ପୁନର୍ବାର ଚେଷ୍ଟା କରନ୍ତୁ,ਵੀਡੀਓ ਲਾਂਚ ਕਰਨ ਦੇ ਦੌਰਾਨ ਤਰੁੱਟੀ! ਕਿਰਪਾ ਕਰਕੇ ਮੁੜ-ਕੋਸ਼ਿਸ਼ ਕਰੋ,வீடியோ லான்ச் செய்யும்போது பிழை ஏற்பட்டுவிட்டது! மீண்டும் முயற்சிக்கவும்,వీడియోను ప్రారంభించడంలో తప్పు జరిగింది! దయచేసి మళ్ళీ ప్రయత్నించండి,वीडियो लॉन्च करत घरी त्रुटि भइल! कृपया दोबारा कोशिश करीं,Video watatmitingo error ong·aha! Ka·sapae daktaibo
submit_profile,Submit Profile,প্ৰফাইল জমা দিয়ক,প্রোফাইল জমা দিন,Enviar perfil,પ્રોફાઇલ સબમિટ કરો,प्रोफ़ाइल सबमिट करें,ಪ್ರೊಫೈಲ್ ಸಲ್ಲಿಸಿ.,"പ്രൊഫൈൽ സമർപ്പിക്കുക
",प्रोफाइल सबमिट करा,ପ୍ରୋଫାଇଲ୍ ଦାଖଲ କରନ୍ତୁ,ਪਰੋਫਾਇਲ ਜਮਾਂ ਕਰੋ,சுயவிவரத்தைச் சமர்ப்பிக்கவும்,ప్రొఫైల్‌ను సబ్మిట్ చేయండి,सबमिट प्रोफाइल,Profile submit ka·bo
sync_already_in_progress,Sync is already in progress. Please try after 5 minutes!,ইতিমধ্যে ছিঙ্কৰ প্ৰতিক্ৰিয়া চলি আছে। অনুগ্ৰহ কৰি পাঁচ মিনিটৰ পিছত পুনৰ চেষ্টা কৰক!,ইতিমধ্যে সিঙ্ক প্রক্রিয়াটি চলছে৷ অনুগ্রহ করে পাঁচ মিনিট পরে চেষ্টা করুন!,La sincronización ya está en progreso. ¡Inténtalo después de 5 minutos!,સિંક પહેલેથી જ ચાલુ છે. કૃપા કરીને 5 મિનિટ પછી પ્રયાસ કરો!,सिंक पहले से ही प्रगति पर है. कृपया पाँच मिनट बाद प्रयास करें!,ಸಿಂಕ್ ಈಗಾಗಲೇ ಪ್ರಗತಿಯಲ್ಲಿದೆ. ದಯವಿಟ್ಟು ಐದು ನಿಮಿಷಗಳ ನಂತರ ಪ್ರಯತ್ನಿಸಿ!,സിങ്ക് ചെയ്തുകൊണ്ടിരിക്കുകയാണ്. 5 മിനിറ്റിന് ശേഷം ശ്രമിക്കൂ!,सिंक आधीच प्रगतीपथावर आहे. कृपया 5 मिनिटांनंतर प्रयत्न करा!,ସିଙ୍କ୍ ଚାଲିଛି। ଦୟାକରି 5 ମିନିଟ୍ ପରେ ଚେଷ୍ଟା କରନ୍ତୁ!,ਸਿੰਕ ਪਹਿਲਾਂ ਹੀ ਪ੍ਰਗਤੀ ਵਿੱਚ ਹੈ। ਕਿਰਪਾ ਕਰਕੇ 5 ਮਿੰਟਾਂ ਬਾਅਦ ਕੋਸ਼ਿਸ਼ ਕਰੋ!,சிங்க் ஏற்கனவே செயல்பாட்டில் உள்ளது. 5 நிமிடங்களுக்கு பிறகு மீண்டும் முயற்சிக்கவும்!,ప్రస్తుతం సింక్ జరుగుతోంది. దయచేసి 5 నిమిషాల తర్వాత ప్రయత్నించండి!,सिंक पहिलहीं से चलत बा. कृपया 5 मिनट के बाद कोशिश करीं!,Sync is already in progress. Ka·sapae minit 5 ni jaman dake nitaibo!
expired,Expired,ম্যাদ উকলিছে,মেয়াদোত্তীর্ণ,Expirado,સમાપ્ત,खत्म हो चुका,ಅವಧಿ ಮುಗಿದಿದೆ.,കാലഹരണപ്പെട്ടു,कालबाह्य झाले,ସମାପ୍ତ,ਮਿਆਦ ਪੁੱਗੀ,காலாவதியான,గడువు ముగిసింది,समय-सीमा खतम बा,Bon·aha
edit,Edit,এডিট কৰক,এডিট  করুন,Editar,એડિટ કરો,एडिट करें,ತಿದ್ದು.,എഡിറ്റ് ചെയ്യൂ,एडिट करा,ସଂଶୋଧନ କରିବା,ਐਡਿਟ ਕਰੋ,திருத்து,ఎడిటింగ్,एडिट,Taridapani
notification_channel_id,sync_notification_channel,ছিংক_ নটিফিকেচন_চেনেল,সিঙ্ক_নোটিফিকেশন_চ্যানেল,canal_notificación_sincronización,સમન્વય_સૂચના_ચેનલ,सिंक_अधिसूचना_चैनल,ಸಿಂಕ್_ನೋಟಿಕೇಶನ್_ಚಾನೆಲ್,സിങ്ക്_നോട്ടിഫിക്കേഷൻ_ചാനൽ,सिंक_सूचना_चॅनेल,ସିଂଙ୍କ_ନୋଟିଫିକେସନ_ଚ୍ୟାନେଲ,ਸਿੰਕ_ਨੋਟਿਫ਼ੀਕੇਸ਼ਨ_ਚੈਨਲ,அறிவிப்பு_சேனலை ஒத்திசைக்கவும்,సింక్_నోటిఫికేషన్_ఛానెల్,सिंक_सूचना_चैनल,sync_notification_channel
sync_channel_desc,Allow to receive notification whenever the app syncs with the server.,যেতিয়াই এপটোৱে চাৰ্ভাৰৰ সৈতে ছিঙ্ক কৰে তেতিয়াই নটিফিকেচন সমূহ গ্ৰহণ কৰাৰ অনুমতি দিয়ক।,যখন অ্যাপটি  সার্ভারের সাথে সিঙ্ক করবে তখন নোটিফিকেশন পাওয়ার জন্য অনুমতি দিন।,Permitir recibir notificaciones cada vez que la aplicación se sincronice con el servidor.,જ્યારે પણ એપ્લિકેશન સર્વર સાથે સિંક થાય છે ત્યારે સૂચના પ્રાપ્ત કરવાની મંજૂરી આપો.,जब भी ऐप सर्वर के साथ सिंक हो तो अधिसूचना प्राप्त करने की अनुमति दें।,ಆಪ್ ಸರ್ವರ್‌ನೊಂದಿಗೆ ಸಿಂಕ್ ಮಾಡಿದಾಗಲೆಲ್ಲಾ ಅಧಿಸೂಚನೆಯನ್ನು ಸ್ವೀಕರಿಸಲು ಅನುಮತಿಸಿ.,ആപ്പ് സെർവറുമായി സിങ്ക് ചെയ്യുമ്പോളെല്ലാം നോട്ടിഫിക്കേഷൻ സ്വീകരിക്കാൻ അനുവദിക്കൂ.,जेव्हाही ॲप सर्व्हरसह सिंक होते तेव्हा सूचना प्राप्त करण्यास अनुमती द्या.,ଆପ୍ ସର୍ଭର୍ ସହିତ ସିଙ୍କ୍ କରିବା ସମୟରେ ନୋଟିଫିକେସନ ଗ୍ରହଣ କରିବାକୁ ଅନୁମତି ଦିଅନ୍ତୁ।,ਐਪ ਦੇ ਸਰਵਰ ਨਾਲ ਸਿੰਕ ਕੀਤੇ ਜਾਣ 'ਤੇ ਸੂਚਨਾ ਪ੍ਰਾਪਤ ਹੋਣ ਦਿਓ।,ஆப் சர்வர் உடன் சிங்க் ஆகும்போது அறிவிப்பு பெறுவதை அனுமதியுங்கள்,యాప్ సర్వర్‌తో సింక్ అయిన ప్రతిసారి నోటిఫికేషన్‌ను స్వీకరించడానికి అనుమతించండి.,जब भी ऐप सर्वर से सिंक होखे त सूचना पावे के अनुमति दीं।,Jensalo app server baksa sync ong·a notification-ko man·sona gita allow dakbo
record_video,Record Video,ভিডিঅ' ৰেকৰ্ড কৰক,ভিডিও রেকর্ড করুন,Grabar video,વિડિઓ રેકોર્ડ કરો,वीडियो रिकॉर्ड करो,ವೀಡಿಯೊ ರೆಕಾರ್ಡ್ ಮಾಡಿ,വീഡിയോ റെക്കോർഡ് ചെയ്യൂ,व्हिडिओ रिकॉर्ड करा,ଭିଡିଓ ରେକର୍ଡ଼ କରନ୍ତୁ,ਵਿਡੀਓ ਰਿਕਾਰਡ ਕਰੋ,வீடியோவை பதிவு செய்க,వీడియో రికార్డ్ చేయండి,वीडियो रिकार्ड करीं,Video record ka·bo
record_again,Record Again,পুনৰ ৰেকৰ্ড কৰক,পুনরায় রেকর্ড করুন,Grabar de nuevo,ફરીથી રેકોર્ડ કરો,दोबारा रिकॉर्ड करें,ಮತ್ತೆ ರೆಕಾರ್ಡ್ ಮಾಡಿ,വീണ്ടും റെക്കോർഡ് ചെയ്യൂ,पुन्हा रिकॉर्ड करा,ପୁଣି ଥରେ ରେକର୍ଡ଼ କରନ୍ତୁ,ਦੁਬਾਰਾ ਰਿਕਾਰਡ ਕਰੋ,மீண்டும் பதிவு செய்க,మళ్ళీ రికార్డ్ చేయండి,फिर से रिकार्ड हो गइल बा,Record ka·taibo
output_not_found,%s Output not found,%s আউটপুট পোৱা নগ'ল,%s আউটপুট পাওয়া যায়নি,%s Salida no encontrada,%s આઉટપુટ મળ્યું નથી,%s आउटपुट नहीं मिला,%s ಔಟ್‌ಪುಟ್ ಕಂಡುಬಂದಿಲ್ಲ.,% ഔട്ട്പുട്ട് കണ്ടെത്താനായില്ല,%s आउटपुट सापडले नाही,%s ଫଳାଫଳ ମିଳିଲା ନାହିଁ,%s ਆਉਟਪੁੱਟ ਨਹੀਂ ਲੱਭੀ,%s வெளியீடு காணப்படவில்லை,%s అవుట్‌పుట్ కనుగొనబడలేదు,%s आउटपुट ना मिलल,%s Output sandio man·ja
payments_welcome_message,Congratulations! You have earned Rs. %s.,অভিনন্দন! আপুনি %s টকা উপাৰ্জন কৰিছে।,অভিনন্দন! আপনি %s টাকা উপার্জন করেছেন,¡Felicidades! Has ganado Rs. %s.,અભિનંદન! તમને %s રૂપિયા મળ્યા.,बधाई! आपने रु. %s कमाए हैं।,ಅಭಿನಂದನೆಗಳು! ನೀವು ರೂ. %s ಗಳಿಸಿದ್ದೀರಿ.,അഭിനന്ദനങ്ങൾ! നിങ്ങൾ %s രൂപ സമ്പാദിച്ചു.,अभिनंदन! तुम्ही रुपये %s कमावले आहेत.,ଅଭିନନ୍ଦନ! ଆପଣ  %s ଟଙ୍କା ରୋଜଗାର କରିଛନ୍ତି।,ਵਧਾਈ! ਤੁਸੀਂ %s ਰੁਪੈ ਕਮਾਏ ਹਨ।,வாழ்த்துகள்! நீங்கள் ரூ. %s சம்பாதித்துள்ளீர்கள் .,అభినందనలు! మీరు సంపాదించిన సొమ్ము రూ. %s.,बधाई बा! रउआ %sरुपया कमा लेले बानी।,Congratulations! Na·a Rs. %s man·aha
payment_method,Please choose a method to get paid,অনুগ্ৰহ কৰি প্ৰাপ্য় ধ্ণ পাবলৈ এটি পদ্ধতি বাছি লওঁক।,অনুগ্রহ করে পারিশ্রমিক পেতে একটি পদ্ধতি বেছে নিন,Por favor elige un método para recibir el pago,કૃપા કરીને રકમ મેળવવા માટેની પદ્ધતિ પસંદ કરો,कृपया भुगतान पाने का एक तरीका चुनें,ದಯವಿಟ್ಟು ಪಾವತಿಸಲು ಒಂದು ವಿಧಾನವನ್ನು ಆಯ್ಕೆಮಾಡಿ.,പണം ലഭിക്കുന്നതിന് ദയവായി ഒരു രീതി തിരഞ്ഞെടുക്കുക,कृपया पैसे मिळवण्यासाठी एक पद्धत निवडा,ଦୟାକରି ପେମେଣ୍ଟ ପାଇବା ପାଇଁ ଏକ ପଦ୍ଧତି ବାଛନ୍ତୁ,ਕਿਰਪਾ ਕਰਕੇ ਭੁਗਤਾਨ ਪ੍ਰਾਪਤ ਕਰਨ ਲਈ ਕੋਈ ਇੱਕ ਵਿਧੀ ਚੁਣੋ,பணம் பெற ஒரு முறையைத் தேர்வு செய்யவும்,దయచేసి డబ్బు స్వికరించడానికి ఒక పద్ధతిని ఎంచుకోండి,कृपया वेतन पावे के कवनो तरीका चुनीं,Ka·sapae mingsa method-ko basebo
name,Please enter your name as it appears in your bank records,অনুগ্ৰহ কৰি আপোনাৰ বেংক ৰেকৰ্ডত দেখাৰ দৰে আপোনাৰ নাম প্ৰৱেশ কৰক,অনুগ্রহ করে আপনার ব্যাংক  রেকর্ডে যে নামটি প্রদর্শিত আছে আপনার সেই নামটি লিখুন,Por favor ingrese su nombre tal como aparece en sus registros bancarios,મહેરબાની કરીને તમારું નામ જેવી રીતે બેન્ક રેકોર્ડ્સ માં છે એવી રીતે જ દાખલ કરો,कृपया अपना नाम वही दर्ज करें जो आपके बैंक रिकॉर्ड में दिखाई देता है,ದಯವಿಟ್ಟು ನಿಮ್ಮ ಬ್ಯಾಂಕ್ ಖಾತೆಯಲ್ಲಿ ನಿಮ್ಮ ಹೆಸರನ್ನು ನಮೂದಿಸಿ.,നിങ്ങളുടെ ബാങ്ക് രേഖകളിൽ കാണുന്നതുപോലെ നിങ്ങളുടെ പേര് നൽകുക,कृपया तुमचे नाव तुमच्या बँक रिकॉर्ड मध्ये दिसते तसे प्रविष्ट करा,ଦୟାକରି ଆପଣଙ୍କ ବ୍ୟାଙ୍କ ଖାତା ରେ ଯେମିତି ଆପଣଙ୍କ ନାମ ଦିଆଯାଇଛି ସେପରି ନାମ ଭରନ୍ତୁ,ਕਿਰਪਾ ਕਰਕੇ ਆਪਣਾ ਨਾਮ ਦਾਖਲ ਕਰੋ ਜਿਵੇਂ ਕਿ ਇਹ ਤੁਹਾਡੇ ਬੈਂਕ ਰਿਕਾਰਡਾਂ ਵਿੱਚ ਦਿਖਾਈ ਦਿੰਦਾ ਹੈ,உங்கள் வங்கி ரெக்கார்டுகளில் இருப்பது போல உங்கள் பெயரை உள்ளிடவும்,దయచేసి మీ బ్యాంక్ రికార్డ్‌లలో కనిపించే విధంగా మీ పేరును నమోదు చేయండి,रउरा सभे से दरख्वास्त बा कि रउरा बैंक रिकार्ड में जे नाम बा ओइसने आपन नाम दर्ज करीं,Ka·sapae nang·ni bimingko bank record-o jedake donga ugita gapatbo
upi_request,Please enter your UPI,অনুগ্ৰহ কৰি আপোনাৰ UPI প্ৰৱেশ কৰক,অনুগ্রহ করে আপনার ইউপিআই লিখুন,Por favor ingresa tu UPI,કૃપા કરીને તમારું યુપીઆઈ દાખલ કરો,कृपया अपना यूपीआई: दर्ज करें,ದಯವಿಟ್ಟು ನಿಮ್ಮ ಯುಪಿಐ ನಮೂದಿಸಿ.,ദയവായി നിങ്ങളുടെ യുപിഐ നൽകുക,कृपया तुमचा UPI प्रविष्ट करा,ଦୟାକରି ଆପଣଙ୍କର UPI ଭରନ୍ତୁ,ਕਿਰਪਾ ਕਰਕੇ ਆਪਣਾ ਯੂ.ਪੀ.ਆਈ ਦਰਜ ਕਰੋ,உங்கள் UPI-யை உள்ளிடவும்,దయచేసి మీ UPI  ని నమోదు చేయండి,कृपया आपन यूपीआई दर्ज करीं,Ka·sapae nang·ni UPI-ko gapatbo
